68,to_catch_a_thief,,Movie
69,1032980-diabolique,,Movie
70,seven_samurai_1956,,Movie
71,searchers,,Movie
72,1010678-invasion_of_the_body_snatchers,,Movie
73,forbidden_planet,,Movie
74,gojira,,Movie
75,rififi,,Movie
76,1000013-12_angry_men,,Movie
77,sweet_smell_of_success,,Movie
78,throne_of_blood,,Movie
79,paths_of_glory,,Movie
80,bridge_on_the_river_kwai,,Movie
81,wild_strawberries,,Movie
82,seventh_seal,,Movie
83,1021749-touch_of_evil,,Movie
84,vertigo,,Movie
85,elevator_to_the_gallows,,Movie
86,north-by-northwest,,Movie
87,400_blows,,Movie
88,anatomy-of-a-murder,,Movie
89,rio_bravo,,Movie
90,some_like_it_hot,,Movie
91,benhur,,Movie
92,psycho,,Movie
93,dolce_vita,,Movie
94,1019544-spartacus,,Movie
95,peeping_tom_1960,,Movie
96,1001115-apartment,,Movie
97,lavventura,,Movie
98,1013077-magnificent_seven,,Movie
99,breathless,,Movie
100,101_dalmatians,,Movie
101,hustler,,Movie
102,west_side_story,,Movie
103,1099622-innocents,,Movie
104,lannee_derniere_a_marienbad_1961,,Movie
105,breakfast_at_tiffanys,,Movie
106,lawrence_of_arabia,,Movie
107,1013227-manchurian_candidate,,Movie
108,eyes_without_a_face_1962,,Movie
109,dr_no,james_bond_007,Movie
110,1012611-lolita,,Movie
111,man_who_shot_liberty_valance,,Movie
112,what_ever_happened_to_baby_jane,,Movie
113,to_kill_a_mockingbird,,Movie
114,the_leopard_1963,,Movie
115,1002448-birds,,Movie
116,the_great_escape,,Movie
117,1010939-jason_and_the_argonauts,,Movie
118,beatles_a_hard_days_night,,Movie
119,dr_strangelove,,Movie
120,mary_poppins,,Movie
121,the_umbrellas_of_cherbourg_1964,,Movie
122,goldfinger,james_bond_007,Movie
123,fistful_of_dollars,,Movie
124,from_russia_with_love,james_bond_007,Movie
125,mafioso_1964,,Movie
126,band_of_outsiders,,Movie
127,my_fair_lady,,Movie
128,contempt,,Movie
129,repulsion,,Movie
130,alphaville,,Movie
131,sound_of_music,,Movie
132,thunderball,james_bond_007,Movie
133,1006037-doctor_zhivago,,Movie
134,the_good_the_bad_and_the_ugly,,Movie
135,whos_afraid_of_virginia_woolf,,Movie
136,persona,,Movie
137,blow_up_1966,,Movie
138,the_battle_of_algiers,,Movie
139,cool_hand_luke,,Movie
140,in_the_heat_of_the_night,,Movie
141,graduate,,Movie
142,bonnie_and_clyde,,Movie
143,you_only_live_twice,james_bond_007,Movie
144,rosemarys_baby,,Movie
145,once_upon_a_time_in_the_west,,Movie
146,1000085-2001_a_space_odyssey,,Movie
147,1015052-night_of_the_living_dead,,Movie
148,belle_de_jour,,Movie
149,beatles_the_yellow_submarine,,Movie
150,1016819-producers,,Movie
151,funny_girl,,Movie
152,1016397-planet_of_the_apes,planet_of_the_apes,Movie
153,barbarella,,Movie
154,army_of_shadows,,Movie
155,1059489-wild_bunch,,Movie
156,midnight_cowboy,,Movie
157,true_grit,,Movie
158,easy_rider,,Movie
159,1003318-butch_cassidy_and_the_sundance_kid,,Movie
160,pierrot-le-fou-pierrot-goes-wild-crazy-pete,,Movie
161,on_her_majestys_secret_service,james_bond_007,Movie
162,the_conformist,,Movie
163,le_cercle_rouge,,Movie
164,patton,,Movie
165,mash,,Movie
166,five_easy_pieces,,Movie
167,el_topo,,Movie
168,last_picture_show,,Movie
169,french_connection,,Movie
